event_id,timestamp,agent_name,rule_id,rule_level,rule_groups,decoder_name,mitre_id,location,source_port,destination_port,source_is_private,destination_is_private,network_bytes,network_packets,has_network_evidence,has_audit_evidence,has_process_evidence,has_file_evidence,has_auth_evidence,has_privilege_evidence,host_events_previous_5m,same_rule_previous_5m,unique_rules_previous_10m,high_level_events_previous_10m,auth_events_previous_10m,file_events_previous_10m,privilege_events_previous_30m,mitre_events_previous_30m,rule_level_max_previous_10m,hour,day_of_week,is_after_hours,rule_count,rule_decision,rule_reason
wazuh-1788729705.2819359,2026-09-06T21:21:45.784000Z,target-kali-01,5501,3,authentication_success|pam|syslog,pam,T1078,journald,0,0,0,0,0,0,0,0,0,0,1,0,18,18,1,0,36,0,0,107,3,21,6,1,19,aggregate,same rule repeated >= 10 times in 5 minutes
wazuh-1788729726.2820261,2026-09-06T21:22:06.033000Z,target-kali-01,5501,3,authentication_success|pam|syslog,pam,T1078,journald,0,0,0,0,0,0,0,0,0,0,1,0,18,18,1,0,36,0,0,107,3,21,6,1,19,aggregate,same rule repeated >= 10 times in 5 minutes
wazuh-1788729744.2821189,2026-09-06T21:22:24.893000Z,target-kali-01,5501,3,authentication_success|pam|syslog,pam,T1078,journald,0,0,0,0,0,0,0,0,0,0,1,0,17,17,1,0,36,0,0,106,3,21,6,1,18,aggregate,same rule repeated >= 10 times in 5 minutes
wazuh-1788729755.2823836,2026-09-06T21:22:35.130000Z,film-laptop,86601,3,ids|suricata,json,none,/var/log/suricata/eve.json,68,67,1,1,0,0,1,0,0,0,0,0,10,9,2,0,0,0,0,0,3,21,6,1,10,aggregate,same rule repeated >= 10 times in 5 minutes
wazuh-1788729760.2826040,2026-09-06T21:22:40.927000Z,target-kali-01,5501,3,authentication_success|pam|syslog,pam,T1078,journald,0,0,0,0,0,0,0,0,0,0,1,0,18,18,1,0,36,0,0,107,3,21,6,1,19,aggregate,same rule repeated >= 10 times in 5 minutes
wazuh-1788729775.2826483,2026-09-06T21:22:55.518000Z,target-kali-01,5501,3,authentication_success|pam|syslog,pam,T1078,journald,0,0,0,0,0,0,0,0,0,0,1,0,18,18,1,0,36,0,0,107,3,21,6,1,19,aggregate,same rule repeated >= 10 times in 5 minutes
wazuh-1788729790.2826926,2026-09-06T21:23:10.912000Z,target-kali-01,5501,3,authentication_success|pam|syslog,pam,T1078,journald,0,0,0,0,0,0,0,0,0,0,1,0,18,18,1,0,37,0,0,107,3,21,6,1,19,aggregate,same rule repeated >= 10 times in 5 minutes
wazuh-1788729801.2827742,2026-09-06T21:23:21.504000Z,target-kali-01,5501,3,authentication_success|pam|syslog,pam,T1078,journald,0,0,0,0,0,0,0,0,0,0,1,0,18,18,1,0,37,0,0,108,3,21,6,1,19,aggregate,same rule repeated >= 10 times in 5 minutes
wazuh-1788729815.2832038,2026-09-06T21:23:35.154000Z,film-laptop,86601,3,ids|suricata,json,none,/var/log/suricata/eve.json,68,67,1,1,0,0,1,0,0,0,0,0,10,9,2,0,0,0,0,0,3,21,6,1,10,aggregate,same rule repeated >= 10 times in 5 minutes
wazuh-1788729822.2834244,2026-09-06T21:23:42.121000Z,target-kali-01,5501,3,authentication_success|pam|syslog,pam,T1078,journald,0,0,0,0,0,0,0,0,0,0,1,0,18,18,1,0,37,0,0,107,3,21,6,1,19,aggregate,same rule repeated >= 10 times in 5 minutes
