event_id,timestamp,agent_name,rule_id,rule_level,rule_groups,decoder_name,mitre_id,location,source_port,destination_port,source_is_private,destination_is_private,network_bytes,network_packets,has_network_evidence,has_audit_evidence,has_process_evidence,has_file_evidence,has_auth_evidence,has_privilege_evidence,host_events_previous_5m,same_rule_previous_5m,unique_rules_previous_10m,high_level_events_previous_10m,auth_events_previous_10m,file_events_previous_10m,privilege_events_previous_30m,mitre_events_previous_30m,rule_level_max_previous_10m,hour,day_of_week,is_after_hours
wazuh-1788729414.2779760,2026-09-06T21:16:54.510000Z,target-kali-01,5501,3,authentication_success|pam|syslog,pam,T1078,journald,0,0,0,0,0,0,0,0,0,0,1,0,18,18,1,0,35,0,0,108,3,21,6,1
wazuh-1788729428.2780203,2026-09-06T21:17:08.731000Z,target-kali-01,5501,3,authentication_success|pam|syslog,pam,T1078,journald,0,0,0,0,0,0,0,0,0,0,1,0,18,18,1,0,35,0,0,108,3,21,6,1
wazuh-1788729443.2780646,2026-09-06T21:17:23.859000Z,target-kali-01,5501,3,authentication_success|pam|syslog,pam,T1078,journald,0,0,0,0,0,0,0,0,0,0,1,0,18,18,1,0,35,0,0,108,3,21,6,1
wazuh-1788729445.2781089,2026-09-06T21:17:25.708000Z,lab-sensor-01,5710,5,authentication_failed|invalid_login|sshd|syslog,sshd,T1021.004|T1110.001,journald,39238,0,1,0,0,0,1,0,0,0,1,0,22,3,7,1,15,0,0,77,10,21,6,1
wazuh-1788729447.2781638,2026-09-06T21:17:27.710000Z,lab-sensor-01,5710,5,authentication_failed|invalid_login|sshd|syslog,sshd,T1021.004|T1110.001,journald,39242,0,1,0,0,0,1,0,0,0,1,0,23,4,7,1,16,0,0,78,10,21,6,1
wazuh-1788729451.2782187,2026-09-06T21:17:31.715000Z,lab-sensor-01,5710,5,authentication_failed|invalid_login|sshd|syslog,sshd,T1021.004|T1110.001,journald,54534,0,1,0,0,0,1,0,0,0,1,0,24,5,7,1,17,0,0,78,10,21,6,1
wazuh-1788729452.2782736,2026-09-06T21:17:32.744000Z,film-laptop,86601,3,ids|suricata,json,none,/var/log/suricata/eve.json,68,67,1,1,0,0,1,0,0,0,0,0,9,8,2,0,0,0,0,0,3,21,6,1
wazuh-1788729452.2784940,2026-09-06T21:17:32.744000Z,film-laptop,86601,3,ids|suricata,json,none,/var/log/suricata/eve.json,68,67,1,1,0,0,1,0,0,0,0,0,10,9,2,0,0,0,0,0,3,21,6,1
wazuh-1788729468.2787144,2026-09-06T21:17:48.289000Z,target-kali-01,5501,3,authentication_success|pam|syslog,pam,T1078,journald,0,0,0,0,0,0,0,0,0,0,1,0,18,18,1,0,35,0,0,108,3,21,6,1
wazuh-1788729477.2787587,2026-09-06T21:17:57.109000Z,film-laptop,591,3,ossec,ossec,none,logcollector,0,0,0,0,0,0,0,0,0,0,0,0,10,0,2,0,0,0,0,0,3,21,6,1
